source,group,function,value,full_id,criterion_path,n_samples,mean_ns,ci_lo_ns,ci_hi_ns
aws,representation,verify,2,representation/verify/2,representation/verify/2,200,83365.63799914643,82980.16879568332,83783.09688946296
aws,representation,verify,4,representation/verify/4,representation/verify/4,200,101699.55194480013,101249.70913082747,102152.78029958744
aws,representation,verify,8,representation/verify/8,representation/verify/8,200,138035.8728916359,137400.0234906962,138693.4422115381
aws,serial_validity,prove,,serial_validity/prove,serial_validity/prove,200,191549.27769541898,190755.4468969941,192362.38479123526
aws,serial_validity,verify,,serial_validity/verify,serial_validity/verify,200,280550.7551432416,279405.71639772446,281754.9963148252
laptop,bitvec_compare,prove/handrolled,16,bitvec_compare/prove/handrolled/16,bitvec_compare/prove_handrolled/16,20,932449.2468869569,895630.3915222896,967460.242123392
laptop,bitvec_compare,prove/handrolled,64,bitvec_compare/prove/handrolled/64,bitvec_compare/prove_handrolled/64,20,2960652.358159627,2877006.3448799327,3070412.998565231
laptop,bitvec_compare,prove/lib,16,bitvec_compare/prove/lib/16,bitvec_compare/prove_lib/16,20,5636456.455495748,5463766.060628749,5820163.335088336
laptop,bitvec_compare,prove/lib,64,bitvec_compare/prove/lib/64,bitvec_compare/prove_lib/64,20,20249050.880181454,19665525.59900988,20881473.813822057
laptop,bitvec_compare,verify/handrolled,16,bitvec_compare/verify/handrolled/16,bitvec_compare/verify_handrolled/16,20,569051.5217149423,546054.3333224652,593976.7408193885
laptop,bitvec_compare,verify/handrolled,64,bitvec_compare/verify/handrolled/64,bitvec_compare/verify_handrolled/64,20,1860363.7266256672,1795142.7345979637,1930632.3826815002
laptop,bitvec_compare,verify/lib,16,bitvec_compare/verify/lib/16,bitvec_compare/verify_lib/16,20,1502558.0404767161,1450425.2722150194,1562591.4624421943
laptop,bitvec_compare,verify/lib,64,bitvec_compare/verify/lib/64,bitvec_compare/verify_lib/64,20,4608730.908683755,4487626.449031784,4738705.384212988
laptop,dleq_compare,prove/handrolled,,dleq_compare/prove/handrolled,dleq_compare/prove_handrolled,50,126754.30054135827,124136.50668410058,129555.11578328705
laptop,dleq_compare,prove/lib,,dleq_compare/prove/lib,dleq_compare/prove_lib,50,119087.89952755097,116735.78136726252,121790.82721284368
laptop,dleq_compare,verify/handrolled,,dleq_compare/verify/handrolled,dleq_compare/verify_handrolled,50,207310.87816604602,203656.14793154827,211342.32944891666
laptop,dleq_compare,verify/lib,,dleq_compare/verify/lib,dleq_compare/verify_lib,50,219364.64303281787,214537.15828117207,224298.70429083737
